dataset, median, 90th, 95th, 99th, max, mean, mse, mape, pccs, , query_dur_ms
cols_8_distinct_10_corr_8_skew_2, 1.2, 2.0, 2.5049999999999955, 4.0, 6.0, 1.4238567103793953, 71.412, 36.79654573397397, (0.9995209213954299, 0.0), 12.038452863693237
cols_8_distinct_10_corr_8_skew_4, 1.1428571428571428, 2.0, 2.5, 4.0, 7.0, 1.3984713882104651, 83.363, 33.926063420549305, (0.9996223534740408, 0.0), 12.316379308700562
cols_8_distinct_10_corr_8_skew_6, 1.1875, 2.0, 2.6708333333333294, 4.0, 6.0, 1.424615870219171, 112.938, 36.31468314697241, (0.9990878044277385, 0.0), 11.367878913879395
cols_8_distinct_10_corr_8_skew_8, 1.1666666666666667, 2.0, 2.5, 4.0, 8.0, 1.3859791348323014, 165.82, 34.10614420101565, (0.9978207778877349, 0.0), 12.192047119140625
cols_8_distinct_100_corr_2_skew_2, 1.1428571428571428, 2.0, 2.5, 4.0, 7.0, 1.3895210411253416, 125.501, 33.59397740740025, (0.9993346908898283, 0.0), 11.868178367614746
cols_8_distinct_100_corr_2_skew_4, 1.125, 2.0, 2.0, 3.2524999999999977, 7.0, 1.3421940088933537, 103.753, 29.457700280291576, (0.9994611756728501, 0.0), 11.856873750686646
cols_8_distinct_100_corr_2_skew_6, 1.1396103896103895, 2.0, 2.2880952380952357, 3.5, 5.0, 1.3431976019742315, 251.447, 28.63664827580037, (0.9999792629196015, 0.0), 11.228654384613037
cols_8_distinct_100_corr_2_skew_8, 1.1138147566718994, 2.0, 2.0, 3.009999999999991, 6.0, 1.3194239650963533, 583.932, 27.093978931945195, (0.9995641092135444, 0.0), 11.018287658691406
cols_8_distinct_100_corr_4_skew_2, 1.1441558441558441, 2.0, 2.5, 4.0, 8.0, 1.3706966148598303, 70.203, 32.86502130428754, (0.9996448717376658, 0.0), 10.749882459640503
cols_8_distinct_100_corr_4_skew_4, 1.1428571428571428, 2.0, 2.3333333333333335, 4.0, 9.0, 1.3725779472864714, 77.667, 32.7440839874191, (0.9996109643290084, 0.0), 11.084669828414917
cols_8_distinct_100_corr_4_skew_6, 1.125, 2.0, 2.5, 4.0, 7.0, 1.3605616275874335, 115.686, 30.637926968786132, (0.9999909481111124, 0.0), 11.70868182182312
cols_8_distinct_100_corr_4_skew_8, 1.1419413919413919, 2.0, 2.0, 4.0, 7.0, 1.3667415126941842, 149.617, 31.415891468609765, (0.9999878012523334, 0.0), 11.828487634658813
cols_8_distinct_100_corr_6_skew_2, 1.1428571428571428, 2.0, 3.0, 4.0, 7.0, 1.402420845522827, 83.476, 35.022785043726984, (0.9996276062920465, 0.0), 11.349730253219604
cols_8_distinct_100_corr_6_skew_4, 1.157169990503324, 2.0, 2.3416666666666592, 4.0, 8.0, 1.3926328279924958, 101.286, 34.08170862531744, (0.9998985214683435, 0.0), 10.607573747634888
cols_8_distinct_100_corr_6_skew_6, 1.1666666666666667, 2.0, 3.0, 4.0, 6.0, 1.4144842376357256, 358.027, 36.210806870203236, (0.999981548866351, 0.0), 11.190240383148193
cols_8_distinct_100_corr_6_skew_8, 1.1206060606060606, 2.0, 3.0, 4.0, 7.0, 1.3912239043417927, 349.735, 33.161713885962904, (0.9999568534656567, 0.0), 11.31411623954773
cols_8_distinct_100_corr_8_skew_2, 1.1333333333333333, 2.0, 2.5, 4.0, 6.0, 1.3858305334263155, 150.113, 33.23412361526765, (0.9999904085310974, 0.0), 11.012219667434692
cols_8_distinct_100_corr_8_skew_4, 1.1491324535679375, 2.0, 2.254166666666663, 4.0, 15.0, 1.3997447408923804, 653.286, 33.407574459912745, (0.9999762526850146, 0.0), 11.102869749069214
cols_8_distinct_100_corr_8_skew_6, 1.1055727554179566, 2.0, 2.502777777777775, 4.0, 6.0, 1.3756062391869441, 208.361, 32.56920289236536, (0.9999764592896118, 0.0), 10.947840690612793
